CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to
2,301621,ΚΡΙΣ ΚΡΙΣ ΣΤΑΡΕΝΙΟ 700ΓΡ.,1.43,2.04,default_kalathi.png,0,Ψωμί για Tοστ,Kg,,galaxias,10-09-2025,16-09-2025
3,80020651/80020650,ΑΡΤΟΠΑΡΑΣΚΕΥΑΣΜΑ ΧΩΡΙΑΤΙΚΟ Ή ΧΩΡΙΑΤΙΚΟ ΣΟΥΣΑΜΕΝΙΟ 350γρ ΨΗ.-ΚΑΤ.,0.75,2.14,default_kalathi.png,0,Ψωμί Φραντζόλα,Kg,,galaxias,10-09-2025,16-09-2025
3,80040041,ΚΑΤΣΕΛΗΣ ΔΙΠΛΟΖΥΜΩΤΟ ΣΤΑΡΕΝΙΟ ΠΡΟΖΥΜΕΝΙΟ ΨΩΜΙ ΣΕ ΦΕΤΕΣ 500ΓΡ ,1.68,3.36,default_kalathi.png,0,Ψωμί Φραντζόλα,Kg,,galaxias,10-09-2025,16-09-2025
3,80044997,ΒΟΣΙΝΑΚΗ ΦΟΥΡΝΙΣΜΑΤΑ ΣΤΑΡΕΝΙΟ 500ΓΡ.,1.59,3.18,default_kalathi.png,0,Ψωμί Φραντζόλα,Kg,,galaxias,10-09-2025,16-09-2025
4,300501,ELITE ΦΡΥΓΑΝΙΕΣ ΝΟ1 250ΓΡ.,1.12,4.48,default_kalathi.png,0,Φρυγανιές,Kg,,galaxias,10-09-2025,16-09-2025
5,80046039,ΜΑΚΒΕΛ ΣΠΑΓΓΕΤΙ Νο6 500ΓΡ.,0.64,1.28,default_kalathi.png,0,Μακαρόνια Νο 6,Kg,,galaxias,10-09-2025,16-09-2025
6,80027769,ΣΠΑΛΑ ΧΟΙΡΙΝΗ Μ/Ο ΟΛΛΑΝΔΙΑΣ (Μόνο καταστήματα με τμήμα Κρεοπωλείου),5.80,5.80,default_kalathi.png,0,Νωπό Χοιρινό,Kg,,galaxias,10-09-2025,16-09-2025
6,80027752,ΜΠΟΥΤΙ ΧΟΙΡΙΝΟ Μ/Ο ΟΛΛΑΝΔΙΑΣ (Μόνο καταστήματα με τμήμα Κρεοπωλείου),5.80,5.80,default_kalathi.png,0,Νωπό Χοιρινό,Kg,,galaxias,10-09-2025,16-09-2025
7,80044072,ΒΛΑΧΙΚΟ ΕΛΛΗΝIKO ΚΟΤΟΠΟΥΛΟ ΟΛΟΚΛΗΡΟ ΝΩΠΟ ΤΥΠΟΠΟΙΗΜΕΝΟ,2.90,2.90,default_kalathi.png,0,Νωπό Κοτόπουλο Ολόκληρο,Kg,,galaxias,10-09-2025,16-09-2025
7,80027945,ΚΟΤΟΠΟΥΛΟ ΟΛΟΚΛΗΡΟ ΝΩΠΟ ΕΛΛΗΝΙΚΟ  ΧΥΜΑ (ΚΑΤΑΣΤΗΜΑΤΑ ΕΥΒΟΙΑΣ με τμήμα Κρεοπωλείου) ,2.90,2.90,default_kalathi.png,0,Νωπό Κοτόπουλο Ολόκληρο,Kg,,galaxias,10-09-2025,16-09-2025
7,80044741,ΒΛΑΧΙΚΟ ΜΠΟΥΤΙ ΚΟΤΟΠΟΥΛΟ ΕΛΛΗΝΙΚΟ ΝΩΠΟ ΤΥΠΟΠΟΙΗΜΕΝΟ (Καταστήματα που διαθέτουν μόνο τυποποιημένα κρέατα),3.55,3.55,default_kalathi.png,0,Νωπό Κοτόπουλο Ολόκληρο,Kg,,galaxias,10-09-2025,16-09-2025
