CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,ENRICHED
36,5202336127801,AB ΧΛΩΡΟΚΑΘΑΡΙΣΤΙΚΟ UL.PINK 1250ML,0.93,0.74,7568692.jpg,1,Απορρυπαντικά για Σφουγγάρισμα - Χλωρίνες,lt,,ab,17-09-2025,23-09-2025,
37,5202336149544,ΑΒ ΥΓΡΟ ΠΙΑΤΩΝ REGULAR 500ML,0.95,1.90,7638032.jpg,1,Απορρυπαντικά Πιάτων,lt,,ab,17-09-2025,23-09-2025,
37,5202336149568,ΑΒ ΥΓΡΟ ΠΙΑΤΩΝ ΛΕΜΟΝΙ 500ML,0.95,1.90,7638021.jpg,1,Απορρυπαντικά Πιάτων,lt,,ab,17-09-2025,23-09-2025,
38,5202336021536,ΑΒ ΧΑΡΤΙ ΚΟΥΖΙΝΑΣ 800GR,2.50,3.13,7114202.jpg,1,Χαρτί Κουζίνας,kg,,ab,17-09-2025,23-09-2025,
39,6920354836077,COLGATE ΟΔ/ΜΑ BAK.SODA 75ML,1.00,13.33,7111615.jpg,0,Οδοντόκρεμα,kg,,ab,17-09-2025,23-09-2025,"{'product_id': 4701, 'brand': 'COLGATE', 'detailed_category': 'Καλλυντικά & Είδη Προσωπικής υγιεινής', 'sub_category': 'Στοματική υγιεινή', 'sub_sub_category': 'Οδοντόκρεμες & Γυαλιστικά δοντιών', 'unit': 'ανά λιτ', 'catalog_description': 'COLGATE BAKING SODA ΟΔΟΝΤΟΚΡΕΜΑ 12/75ML.', 'logo': 'Colgate_OD_MA_BAKING_SODA_75ML.jpg', 'permanent_discount': False, 'match_method': 'barcode', 'match_confidence': 1.0}"
40,5202336158577,ΑΒ ΧΑΡΤΙ ΥΓΕΙΑΣ 10ΡΟΛΑ 2PLY,2.46,3.28,default_kalathi.png,1,Χαρτί Υγείας,τμχ,,ab,17-09-2025,23-09-2025,
41,5201263003943,EDAY U.PL.SENS NORMAL ECO 18+ΤΣΑΝΤΑΚΙ ΔΩ,2.20,0.12,default_kalathi.png,0,Σερβιέτες ή Ταμπόν,τμχ,,ab,17-09-2025,23-09-2025,"{'product_id': 4490, 'brand': 'EVERYDAY', 'detailed_category': 'Χαρτικά, Πάνες & Σερβιέτες', 'sub_category': 'Σερβιέτες & Πάνες ενηλίκων', 'sub_sub_category': 'Σερβιέτες', 'unit': 'ανά τεμ', 'catalog_description': 'EVERYDAY SENS. UL. PL. NOR. 24/18Τ(+ΤΣΑΝΤΑΚΙ', 'logo': 'Every_Day_Σερβιετες_SENSITIVE_UL.jpg', 'permanent_discount': False, 'match_method': 'barcode', 'match_confidence': 1.0}"
41,5201263003950,EDAY U.PLUS SENS SUP.ECO 18+ΤΣΑΝΤΑΚΙ ΔΩΡ,2.20,0.12,default_kalathi.png,0,Σερβιέτες ή Ταμπόν,τμχ,,ab,17-09-2025,23-09-2025,
41,5201263003967,ED U.P.SENS.NIGHT ECO 18+ΤΣΑΝΤΑΚΙ ΔΩΡΟ,2.20,0.12,default_kalathi.png,0,Σερβιέτες ή Ταμπόν,τμχ,,ab,17-09-2025,23-09-2025,
41,5201263006371,ED U.P.SENSITIVE NORMAL ECONOMY 18ΤΕΜ,2.20,0.12,7145735.jpg,0,Σερβιέτες ή Ταμπόν,τμχ,,ab,17-09-2025,23-09-2025,"{'product_id': 4509, 'brand': 'EVERYDAY', 'detailed_category': 'Χαρτικά, Πάνες & Σερβιέτες', 'sub_category': 'Σερβιέτες & Πάνες ενηλίκων', 'sub_sub_category': 'Σερβιέτες', 'unit': 'ανά τεμ', 'catalog_description': 'EVERYDAY SENSITIVE UL. PL. NORMAL 24/18Τ', 'logo': 'Every_Day_T_SENSITIVE_ULTRA_PLUS_ECONOMY_18CT.jpg', 'permanent_discount': False, 'match_method': 'barcode', 'match_confidence': 1.0}"
