CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,
56,5949065035945,LOVEPET Υ.Τ. ΓΑΤΑΣ ΨΑΡΙ ΦΑΚ.100G,0.50,5.00,7664202.jpg,1,Λευκό τυρί,kg,,ab,07-05-2025,13-05-2025,
56,5949065035969,LOVEPET Υ.Τ. ΓΑΤΑΣ ΒΟΔ.ΦΑΚ.100G,0.50,5.00,7664228.jpg,1,Λευκό τυρί,kg,,ab,07-05-2025,13-05-2025,
52,18902,ΒΟΕΙΟ ΠΟΝΤΙΚΙ ΝΩΠΟ Α/Ο Ν/Ζ ΙΣΠΑΝΙΑΣ,12.99,12.99,18902.jpg,0,Μοσχάρι,kg,,bazaar,07-05-2025,13-05-2025,
1,5201399020074,3Α 500G ΡΥΖΙ ΚΑΡΟΛΙΝΑ,1.75,3.5,5201399020074.jpg,0,Ρύζι,Kg,,bazaar,07-05-2025,13-05-2025,
1,5208086412464,FARMER 1KG ΡΥΖΙ Τ.ΑΜΕΡΙΚΗΣ,1.75,1.75,5208086412464.jpg,1,Ρύζι,Kg,,bazaar,07-05-2025,13-05-2025,
2,5208086441426,ΚΑΛΗΜΕΡΑ 700G ΦΟΡΜΑ ΤΟΣΤ ΣΤΑΡΕΝΙΟ,1.35,1.93,5208086441426.jpg,1,Ψωμί για Tοστ,Kg,,bazaar,07-05-2025,13-05-2025,
3,45218,ΨΩΜΙ ΦΡΑΤΖΟΛΑ ΣΤΑΡΕΝΙΑ 370G,0.75,2.03,45218.jpg,0,Ψωμί Φραντζόλα,Kg,,bazaar,07-05-2025,13-05-2025,
3,5200127470969,ΚΑΣΙΜΗ 350G ΑΡΤΟΣΚΕΥΑΣΜΑ ΤΟ ΧΩΡΙΑΤΙΚΟ,0.75,2.14,5200127470969.jpg,0,Ψωμί Φραντζόλα,Kg,,bazaar,07-05-2025,13-05-2025,
4,5203064009285,FORMA 500G ΦΡΥΓΑΝΙΕΣ ΣΙΤΟΥ ΟΙΚΟΓ ΣΥΣΚ,1.45,2.9,5203064009285.jpg,0,Φρυγανιές,Kg,,bazaar,07-05-2025,13-05-2025,
5,5201013012508,ΜΑΚΒΕΛ 500G ΣΠΑΓΓΕΤΙ N.6,0.69,1.38,5201013012508.jpg,0,Μακαρόνια Νο 6,Kg,,bazaar,07-05-2025,13-05-2025,
5,5201013020107,ΕΛΛΗΝΙΚΗ ΣΠΟΡΑ 500G ΣΠΑΓΓΕΤΙ No6,0.59,1.18,5201013020107.jpg,1,Μακαρόνια Νο 6,Kg,,bazaar,07-05-2025,13-05-2025,
6,18430,ΧΟΙΡΙΝΟ ΜΠΡΙΖΟΛΑ ΟΛΛΑΝΔΙΑΣ ΝΩΠΟ Μ/Ο,5.45,5.45,18430.jpg,0,Νωπό Χοιρινό,Kg,,bazaar,07-05-2025,13-05-2025,
8,5202528068899,FARMER 200G ΓΑΛΟΠ ΚΑΠΝ ΤΕΤΡΑΓ ΣΕ ΦΕΤΕΣ,1.19,5.95,5202528068899.jpg,1,Γαλοπούλα,Kg,,bazaar,07-05-2025,13-05-2025,
8,5202575007483,CRETA TOSTAKI 160G ΧΩΡ. ΓΛΟΥΤΕΝΗ ΓΑΛΟΠΟΥΛΑ ΚΑΠΝΙΣΤΗ,1.48,9.25,5202575007483.jpg,0,Γαλοπούλα,Kg,,bazaar,07-05-2025,13-05-2025,
