CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,name,null
35,5202336128143,ΑΒ ΣΚΟΝΗ ΠΛΥΝΤ.ACTIVE CLEAN 75MEZ,6.59,0.09,7584379.jpg,1,Απορρυπαντικά Πλυντηρίου,μεζ,,ab,25-12-2024,31-12-2024,,
36,5202336119462,AB ΧΛΩΡΟΚΑΘΑΡΙΣΤΙΚΟ UL.FRESH 1250ML,0.93,0.74,7568693.jpg,1,Απορρυπαντικά για Σφουγγάρισμα - Χλωρίνες,lt,,ab,25-12-2024,31-12-2024,,
36,5202336127764,AB ΧΛΩΡΟΚΑΘΑΡΙΣΤΙΚΟ UL.LEMON 1250ML,0.93,0.74,7568679.jpg,1,Απορρυπαντικά για Σφουγγάρισμα - Χλωρίνες,lt,,ab,25-12-2024,31-12-2024,,
36,5202336127801,AB ΧΛΩΡΟΚΑΘΑΡΙΣΤΙΚΟ UL.PINK 1250ML,0.93,0.74,7568692.jpg,1,Απορρυπαντικά για Σφουγγάρισμα - Χλωρίνες,lt,,ab,25-12-2024,31-12-2024,,
37,5202336149544,ΑΒ ΥΓΡΟ ΠΙΑΤΩΝ REGULAR 500ML,0.95,1.90,7638032.jpg,1,Απορρυπαντικά Πιάτων,lt,,ab,25-12-2024,31-12-2024,,
37,5202336149568,ΑΒ ΥΓΡΟ ΠΙΑΤΩΝ ΛΕΜΟΝΙ 500ML,0.95,1.90,7638021.jpg,1,Απορρυπαντικά Πιάτων,lt,,ab,25-12-2024,31-12-2024,,
38,5202336021536,ΑΒ ΧΑΡΤΙ ΚΟΥΖΙΝΑΣ 800GR,2.50,3.13,7114202.jpg,1,Χαρτί Κουζίνας,kg,,ab,25-12-2024,31-12-2024,,
39,8006540948163,ORALB ΟΔ/ΜΑ 1 2 3 75ML,1.08,14.40,7111750.jpg,0,Οδοντόκρεμα,kg,,ab,25-12-2024,31-12-2024,,
40,5202336111510,365 ΧΑΡΤΙ ΥΓΕΙΑΣ 10ΡΟΛΑ 2PLY,2.46,0.25,7353743.jpg,1,Χαρτί Υγείας,τμχ,,ab,25-12-2024,31-12-2024,,
41,5400113567189,CARE TAMPON CONT REGULAR 32T,2.66,0.08,7298195.jpg,1,Σερβιέτες ή Ταμπόν,τμχ,,ab,25-12-2024,31-12-2024,,
41,8006540093849,ALWAYS ULTRA SECUR NIGHT EXTRA 10Τ,2.41,0.24,7683347.jpg,0,Σερβιέτες ή Ταμπόν,τμχ,,ab,25-12-2024,31-12-2024,,
41,8700216171311,ALWAYS ULTRA NORMAL PLUS 20T,2.20,0.11,7683336.jpg,0,Σερβιέτες ή Ταμπόν,τμχ,,ab,25-12-2024,31-12-2024,,
41,8700216171380,ALWAYS ULTRA LONG PLUS 18T,2.16,0.12,7683323.jpg,0,Σερβιέτες ή Ταμπόν,τμχ,,ab,25-12-2024,31-12-2024,,
41,8700216171458,ALWAYS ULTRA NIGHT 16T,2.20,0.14,7683359.jpg,0,Σερβιέτες ή Ταμπόν,τμχ,,ab,25-12-2024,31-12-2024,,
42,8590421070512,EMMA ΝΙΦΑΔΕΣ ΒΡΩΜΗΣ 500GR,0.98,1.96,7685010.jpg,1,Προϊόντα Βρώμης,kg,,ab,25-12-2024,31-12-2024,,
43,5201109002703,KARAVAKI ΣΑΜΠ.ΘΡΕΨΗ&ΕΝΥΔ.ΑΝΤΛ.600ML,2.67,4.45,7617092.jpg,0,Σαμπουάν,lt,,ab,25-12-2024,31-12-2024,,
44,5202336134403,CARE ΣΑΠΟΥΝΙ 3X125G,1.05,2.80,7614235.jpg,1,Σαπούνι Στερεό,kg,,ab,25-12-2024,31-12-2024,,
45,5201263086601,SANI PANTS SMALL NO1 14T,6.45,0.46,7128027.jpg,0,Πάνες Ακράτειας,τμχ,,ab,25-12-2024,31-12-2024,,
45,5201263086618,SANI PANTS MEDIUM NO2 14T,7.67,0.55,7128016.jpg,0,Πάνες Ακράτειας,τμχ,,ab,25-12-2024,31-12-2024,,
45,5201263086625,SANI PANTS LARGE NO3 14T,8.99,0.64,7127978.jpg,0,Πάνες Ακράτειας,τμχ,,ab,25-12-2024,31-12-2024,,
45,7322540593143,TENA LADY MAXI INSTA-DRY 12T,4.48,0.37,7133541.jpg,0,Πάνες Ακράτειας,τμχ,,ab,25-12-2024,31-12-2024,,
45,7322541096667,TENA LADY MAXI NIGHT 12ΤΕΜ.,4.57,0.38,7117368.jpg,0,Πάνες Ακράτειας,τμχ,,ab,25-12-2024,31-12-2024,,
45,7322541132136,TENA LADY EXTRA 20T,4.87,0.24,7226107.jpg,0,Πάνες Ακράτειας,τμχ,,ab,25-12-2024,31-12-2024,,
46,5201263082573,BABYLINO SENS.ECONOMY N3 4 9KG 56T,9.99,0.18,7633002.jpg,0,Πάνες για Μωρά,τμχ,,ab,25-12-2024,31-12-2024,,
46,5201263082580,BABYLINO SENS.ECONOMY N4 8 13KG 50T,9.99,0.20,7633012.jpg,0,Πάνες για Μωρά,τμχ,,ab,25-12-2024,31-12-2024,,
46,5201263082597,BABYLINO SENS.ECO.N4+ 10 15KG 46T,9.99,0.22,7632966.jpg,0,Πάνες για Μωρά,τμχ,,ab,25-12-2024,31-12-2024,,
46,5201263082603,BABYLINO SENS ECO.N5 11 16 KG 44T  ,9.99,0.23,7633006.jpg,0,Πάνες για Μωρά,τμχ,,ab,25-12-2024,31-12-2024,,
46,5201263082627,BABYLINO SENS.ECONOMY N2 3 6KG 50T,5.99,0.12,7633000.jpg,0,Πάνες για Μωρά,τμχ,,ab,25-12-2024,31-12-2024,,
46,5201263082634,BABYLINO SENS ECO.N5+ 12 17KG 42T,9.99,0.24,7637767.jpg,0,Πάνες για Μωρά,τμχ,,ab,25-12-2024,31-12-2024,,
46,5201263826108,BABYLINO SENS ECO NΟ6 13 18KG 38T,9.49,0.25,7637774.jpg,0,Πάνες για Μωρά,τμχ,,ab,25-12-2024,31-12-2024,,
46,5201263826405,BABYLINO SENS ECO NΟ7 15+KG 36T,9.49,0.26,7637831.jpg,0,Πάνες για Μωρά,τμχ,,ab,25-12-2024,31-12-2024,,
46,5201263890253,BABYLINO PANTS ECO N4 7/13KG 38T,8.85,0.23,7706251.jpg,0,Πάνες για Μωρά,τμχ,,ab,25-12-2024,31-12-2024,,
46,5201263890260,BABYLINO PANTS ECO N5 10/16KG 34T,8.84,0.26,7706298.jpg,0,Πάνες για Μωρά,τμχ,,ab,25-12-2024,31-12-2024,,
46,5201263890277,BABYLINO PANTS ECO N6 13/18KG 31T,8.84,0.29,7706299.jpg,0,Πάνες για Μωρά,τμχ,,ab,25-12-2024,31-12-2024,,
46,5201263890284,BABYLINO PANTS ECO N7 15/25KG 28T,8.84,0.32,7706300.jpg,0,Πάνες για Μωρά,τμχ,,ab,25-12-2024,31-12-2024,,
47,5201410964103,SEPTONA ΜΩΡ/ΛΑ ΧΑΜΟΜΗΛΙ 80T(2+1),2.62,0.01,7608635.jpg,0,Μωρομάντηλα,τμχ,,ab,25-12-2024,31-12-2024,,
